x,y,z,r,g,b,class,instance_id
8.705700,-1.695200,51.935799,90,37,44,chair,0
8.709800,-1.699900,51.936699,92,32,45,chair,0
8.708200,-1.715500,51.936401,73,33,35,chair,0
8.592300,-1.718700,51.923500,72,28,30,chair,0
8.359600,-1.714000,51.863701,80,31,33,chair,0
8.671100,-1.668400,51.921902,112,63,64,chair,0
8.714600,-1.697600,51.922600,137,85,67,chair,0
8.717100,-1.713900,51.920300,73,30,34,chair,0
8.715100,-1.714400,51.923302,74,32,35,chair,0
8.593700,-1.719200,51.903198,73,30,31,chair,0
8.354600,-1.716700,51.834801,92,32,32,chair,0
8.718000,-1.695400,51.915001,106,61,53,chair,0
8.720900,-1.709300,51.918201,74,42,41,chair,0
8.717400,-1.715300,51.915100,79,33,39,chair,0
8.438100,-1.711200,51.842701,83,31,31,chair,0
8.346100,-1.716500,51.810501,118,71,45,chair,0
8.720700,-1.692600,51.895599,128,84,75,chair,0
8.724700,-1.704100,51.896400,83,38,42,chair,0
8.718000,-1.715100,51.899899,102,36,32,chair,0
8.406900,-1.703000,51.815201,103,41,36,chair,0
8.355200,-1.714300,51.797798,126,63,43,chair,0
8.289200,-1.817200,51.773800,154,96,62,chair,0
8.329200,-1.846600,51.784000,169,92,57,chair,0
8.322300,-1.869300,51.788300,149,95,59,chair,0
7.974300,-1.876500,51.696201,118,101,90,chair,0
8.718400,-1.691700,51.875900,143,94,87,chair,0
8.721300,-1.712300,51.884102,108,44,31,chair,0
8.708700,-1.714400,51.877499,100,37,29,chair,0
8.456400,-1.709100,51.805801,103,40,32,chair,0
8.345300,-1.712700,51.777599,105,34,31,chair,0
8.310400,-1.734400,51.750500,95,46,49,chair,0
8.290100,-1.754600,51.755901,86,49,58,chair,0
8.286400,-1.772300,51.749599,112,61,47,chair,0
8.290000,-1.796200,51.745800,74,41,49,chair,0
8.288200,-1.810800,51.744999,70,37,49,chair,0
7.968600,-1.844100,51.658600,124,105,87,chair,0
8.157700,-1.871300,51.719101,123,76,46,chair,0
8.337900,-1.649200,51.739399,73,41,45,chair,0
8.719700,-1.707500,51.866901,109,50,43,chair,0
8.709700,-1.713900,51.864300,119,54,28,chair,0
8.435800,-1.708600,51.785000,107,39,34,chair,0
8.347700,-1.714700,51.759602,107,36,26,chair,0
8.311400,-1.734500,51.747501,98,52,55,chair,0
8.313300,-1.753200,51.741798,98,34,28,chair,0
8.309100,-1.767500,51.739899,90,27,30,chair,0
8.297000,-1.800700,51.739899,101,54,51,chair,0
8.293300,-1.803900,51.741100,114,69,55,chair,0
8.295900,-1.830700,51.733700,99,68,47,chair,0
8.293400,-1.846800,51.730202,95,61,42,chair,0
8.288100,-1.867200,51.726601,96,51,42,chair,0
8.311100,-1.473500,51.701698,82,36,42,chair,0
8.308000,-1.489400,51.705101,119,72,58,chair,0
8.311500,-1.516200,51.701199,73,44,52,chair,0
8.331400,-1.538800,51.710602,88,39,44,chair,0
8.340000,-1.605900,51.722000,103,54,42,chair,0
8.335800,-1.625000,51.729500,71,47,55,chair,0
8.349000,-1.640500,51.735802,95,57,48,chair,0
8.712300,-1.703300,51.845600,103,51,41,chair,0
8.697900,-1.713200,51.839100,119,48,29,chair,0
8.439300,-1.706100,51.758999,111,40,30,chair,0
8.349000,-1.715400,51.720001,109,42,28,chair,0
8.301700,-1.785200,51.716499,169,93,60,chair,0
8.302300,-1.825700,51.725399,90,60,50,chair,0
8.298800,-1.856700,51.716900,91,36,29,chair,0
8.288800,-1.874000,51.721298,96,40,33,chair,0
8.287100,-1.880200,51.720699,98,44,33,chair,0
8.272300,-1.912100,51.718399,130,69,49,chair,0
