x,y,z,r,g,b,class,instance_id
7.778200,-1.361000,50.434700,234,249,253,floor,0
7.775900,-1.378700,50.434502,233,248,253,floor,0
7.772000,-1.391100,50.433399,235,248,253,floor,0
7.756900,-1.414100,50.426899,228,243,243,floor,0
7.745600,-1.432400,50.422298,224,234,235,floor,0
7.739300,-1.465400,50.421700,227,240,242,floor,0
7.738500,-1.480400,50.422199,236,245,248,floor,0
7.735300,-1.509600,50.422401,232,244,246,floor,0
7.734000,-1.523600,50.422600,233,245,248,floor,0
7.729900,-1.548200,50.422401,232,242,246,floor,0
7.823400,-1.303300,50.448601,255,255,255,floor,0
7.716300,-1.307100,50.362999,139,172,188,floor,0
7.827800,-1.369400,50.434200,254,255,255,floor,0
7.824600,-1.384900,50.434898,254,255,255,floor,0
7.823100,-1.406400,50.435001,253,255,255,floor,0
7.820500,-1.418900,50.435299,253,255,255,floor,0
7.817900,-1.446300,50.436401,250,255,255,floor,0
7.815000,-1.466300,50.435799,253,255,255,floor,0
7.811500,-1.499800,50.436501,250,255,255,floor,0
7.807800,-1.514500,50.436901,249,255,255,floor,0
7.808000,-1.529700,50.437099,250,255,255,floor,0
7.805300,-1.555300,50.437401,251,255,255,floor,0
7.802400,-1.573800,50.437599,250,255,255,floor,0
7.801000,-1.597000,50.437801,251,255,255,floor,0
7.795400,-1.623500,50.437401,249,255,255,floor,0
7.793800,-1.655100,50.437500,247,255,255,floor,0
7.792500,-1.680300,50.437901,243,255,255,floor,0
7.791800,-1.684400,50.437599,244,255,255,floor,0
7.787700,-1.708900,50.437099,243,255,255,floor,0
7.785100,-1.737800,50.437500,239,255,255,floor,0
7.786800,-1.753500,50.437698,240,255,255,floor,0
7.782600,-1.775600,50.437302,237,255,255,floor,0
7.781500,-1.803500,50.436901,233,251,254,floor,0
7.781300,-1.819100,50.436901,231,252,252,floor,0
7.796200,-1.843800,50.457298,255,234,225,floor,0
7.794700,-1.872600,50.450298,255,237,228,floor,0
7.794300,-1.894700,50.452202,255,236,227,floor,0
7.795700,-1.907500,50.455601,255,253,251,floor,0
7.767800,-1.948200,50.431801,232,253,252,floor,0
7.766400,-1.966100,50.431198,231,252,252,floor,0
7.764900,-1.979000,50.430500,233,252,252,floor,0
7.810800,-1.301500,50.400002,246,231,220,floor,0
7.900100,-1.362500,50.447102,255,255,255,floor,0
7.897500,-1.369200,50.447201,255,255,255,floor,0
7.895100,-1.387100,50.447399,255,255,255,floor,0
7.891300,-1.407400,50.446999,254,255,255,floor,0
7.887700,-1.428900,50.446602,255,255,255,floor,0
7.880100,-1.463100,50.445599,255,255,255,floor,0
7.877800,-1.477800,50.445202,254,255,255,floor,0
7.872300,-1.505700,50.444599,255,255,255,floor,0
7.867700,-1.515900,50.443699,255,255,255,floor,0
7.865100,-1.541600,50.443100,255,255,255,floor,0
8.015300,-1.584500,50.540100,255,249,240,floor,0
7.944400,-1.595500,50.522900,255,252,244,floor,0
7.840700,-1.613700,50.434399,250,254,254,floor,0
7.839900,-1.640100,50.434200,242,252,251,floor,0
7.837000,-1.664100,50.434200,249,255,255,floor,0
7.837200,-1.670200,50.434399,252,255,255,floor,0
7.835000,-1.702500,50.435001,254,255,255,floor,0
9.137900,-1.829000,51.263302,234,181,157,floor,0
7.832800,-1.738300,50.435501,254,255,255,floor,0
7.831200,-1.768800,50.435600,254,255,255,floor,0
7.830100,-1.784200,50.435902,253,255,255,floor,0
7.829500,-1.806900,50.435699,251,255,255,floor,0
7.828300,-1.839100,50.436001,250,255,255,floor,0
7.828000,-1.847900,50.435902,250,255,255,floor,0
7.827900,-1.865800,50.436001,250,255,255,floor,0
7.825300,-1.889800,50.436298,247,255,255,floor,0
7.826700,-1.912700,50.436401,247,255,255,floor,0
7.826800,-1.932600,50.436600,247,255,255,floor,0
7.826600,-1.972900,50.436699,251,255,255,floor,0
7.824700,-1.981800,50.436600,252,255,255,floor,0
7.811300,-1.303500,50.356201,237,227,220,floor,0
7.964800,-1.369200,50.458698,255,255,255,floor,0
7.963600,-1.389000,50.459499,255,255,255,floor,0
7.957000,-1.415600,50.459202,255,255,255,floor,0
7.955100,-1.437500,50.459000,255,255,255,floor,0
7.953700,-1.450800,50.458900,255,255,255,floor,0
7.951700,-1.466400,50.459202,255,255,255,floor,0
7.945000,-1.494600,50.458401,255,255,255,floor,0
7.942200,-1.518200,50.458302,255,255,255,floor,0
7.938100,-1.535800,50.458199,255,255,255,floor,0
7.934300,-1.561900,50.456799,252,255,255,floor,0
8.010000,-1.592100,50.523102,255,250,242,floor,0
7.995000,-1.599900,50.509701,255,251,243,floor,0
7.964700,-1.626600,50.483601,255,252,246,floor,0
7.918000,-1.639200,50.464901,255,251,246,floor,0
7.905900,-1.669600,50.447498,254,255,255,floor,0
7.903700,-1.690800,50.447102,254,255,255,floor,0
7.943600,-1.702300,50.475700,255,236,227,floor,0
7.902300,-1.718000,50.447201,253,255,255,floor,0
7.898000,-1.755400,50.447201,254,255,255,floor,0
7.898100,-1.769500,50.447399,254,255,255,floor,0
7.897300,-1.795100,50.447102,253,255,255,floor,0
7.894200,-1.814400,50.446899,253,255,255,floor,0
7.946000,-1.825700,50.484402,255,248,242,floor,0
7.893300,-1.847100,50.447399,254,255,255,floor,0
7.894200,-1.868200,50.447300,253,255,255,floor,0
7.892000,-1.902900,50.446999,254,255,255,floor,0
7.892100,-1.923500,50.447201,254,255,255,floor,0
7.892100,-1.942700,50.447300,253,255,255,floor,0
7.891800,-1.972800,50.447399,254,255,255,floor,0
7.891800,-1.980800,50.447399,254,255,255,floor,0
8.084800,-1.312000,50.504902,255,255,255,floor,0
7.984800,-1.313100,50.442001,255,255,255,floor,0
8.011800,-1.360800,50.456299,255,255,255,floor,0
8.012600,-1.366900,50.456799,255,255,255,floor,0
8.002500,-1.397000,50.454700,246,255,255,floor,0
8.000600,-1.418400,50.455002,255,255,255,floor,0
7.998800,-1.436900,50.456001,255,255,255,floor,0
7.995700,-1.457600,50.456299,255,255,255,floor,0
7.992100,-1.486200,50.457001,254,255,255,floor,0
7.990100,-1.505500,50.457298,255,255,255,floor,0
7.989700,-1.512300,50.457699,255,255,255,floor,0
7.985500,-1.543800,50.458099,255,255,255,floor,0
7.985100,-1.555700,50.458599,255,255,255,floor,0
8.053300,-1.598100,50.522701,255,246,238,floor,0
8.070400,-1.620500,50.521000,255,247,240,floor,0
8.005100,-1.617800,50.483002,255,251,245,floor,0
7.974300,-1.650600,50.459400,254,255,255,floor,0
7.971700,-1.664000,50.459999,254,255,255,floor,0
7.972900,-1.677700,50.459499,254,255,255,floor,0
7.966400,-1.704400,50.459900,254,255,255,floor,0
9.150000,-1.826100,51.238300,238,186,163,floor,0
7.964800,-1.761000,50.459301,254,255,255,floor,0
7.964400,-1.780000,50.459999,254,255,255,floor,0
7.963800,-1.792900,50.459702,253,255,255,floor,0
7.964600,-1.815700,50.484699,255,248,242,floor,0
7.995400,-1.837300,50.500999,255,246,239,floor,0
7.961600,-1.862000,50.460201,254,255,255,floor,0
7.960500,-1.883100,50.460300,253,255,255,floor,0
7.959400,-1.889600,50.459702,254,255,255,floor,0
7.958900,-1.915900,50.459599,254,255,255,floor,0
7.958500,-1.951600,50.460300,254,255,255,floor,0
7.959100,-1.958900,50.459999,254,255,255,floor,0
7.956900,-1.987500,50.459702,254,255,255,floor,0
8.142400,-1.309200,50.523602,255,255,255,floor,0
8.069100,-1.309800,50.478298,255,255,255,floor,0
8.076500,-1.342100,50.465900,237,255,255,floor,0
8.076400,-1.362300,50.467899,233,249,253,floor,0
8.074900,-1.373600,50.467602,222,238,241,floor,0
8.069500,-1.402600,50.467400,255,255,255,floor,0
8.067100,-1.420600,50.467800,255,255,255,floor,0
8.061800,-1.437600,50.467602,255,255,255,floor,0
8.060300,-1.457100,50.467499,255,255,255,floor,0
8.055300,-1.483600,50.466999,255,255,255,floor,0
8.049100,-1.516500,50.466499,255,255,255,floor,0
8.046100,-1.531100,50.466000,255,255,255,floor,0
8.045000,-1.540800,50.466000,255,255,255,floor,0
8.037400,-1.564300,50.464600,255,255,255,floor,0
8.106800,-1.606100,50.531300,255,245,238,floor,0
8.037200,-1.607000,50.494701,255,250,243,floor,0
8.056200,-1.626700,50.497898,255,246,240,floor,0
