x,y,z,r,g,b,class,instance_id
11.438700,-1.304900,55.356499,122,120,115,wall,0
11.435800,-1.304600,55.351299,119,118,114,wall,0
11.430400,-1.304200,55.353100,120,120,113,wall,0
11.425800,-1.303800,55.347401,122,121,113,wall,0
11.419900,-1.303700,55.344501,130,128,124,wall,0
11.417300,-1.304700,55.343601,133,129,126,wall,0
11.413200,-1.304000,55.342602,132,130,126,wall,0
11.409000,-1.303700,55.343899,131,129,126,wall,0
11.403500,-1.303400,55.342098,124,123,116,wall,0
11.401500,-1.303400,55.344398,125,124,119,wall,0
11.394400,-1.304800,55.335999,127,123,120,wall,0
11.390300,-1.303900,55.332100,131,126,117,wall,0
11.385900,-1.302800,55.334599,125,123,117,wall,0
11.382600,-1.303800,55.331699,123,121,115,wall,0
11.377800,-1.303200,55.332500,124,122,116,wall,0
11.375400,-1.304500,55.337898,121,121,115,wall,0
11.370300,-1.304200,55.330502,128,125,119,wall,0
11.363800,-1.303300,55.328098,132,130,122,wall,0
11.358700,-1.303400,55.333401,126,124,113,wall,0
11.357100,-1.304400,55.324299,133,131,121,wall,0
11.350500,-1.303500,55.325001,136,131,124,wall,0
11.346100,-1.304100,55.328400,125,110,103,wall,0
11.345200,-1.304400,55.325600,121,108,100,wall,0
11.337900,-1.304200,55.322800,140,135,127,wall,0
11.335000,-1.305300,55.331501,138,132,118,wall,0
11.330200,-1.304400,55.322102,134,130,119,wall,0
11.327900,-1.304800,55.323002,135,131,120,wall,0
11.320700,-1.304800,55.320599,134,128,118,wall,0
11.318300,-1.305000,55.321602,139,132,123,wall,0
11.313900,-1.303900,55.328701,130,123,116,wall,0
11.309100,-1.304000,55.324501,137,130,124,wall,0
11.302400,-1.304200,55.326500,130,128,116,wall,0
11.299100,-1.303200,55.328499,130,127,116,wall,0
11.294300,-1.304000,55.326599,133,128,118,wall,0
11.289700,-1.304000,55.326900,143,139,126,wall,0
11.285000,-1.304200,55.330399,144,138,123,wall,0
11.281500,-1.303900,55.330200,142,136,121,wall,0
11.278500,-1.304900,55.328300,141,135,127,wall,0
11.275000,-1.303400,55.335201,152,144,125,wall,0
11.269100,-1.303900,55.339100,141,137,121,wall,0
11.263200,-1.304400,55.335201,130,127,116,wall,0
11.258200,-1.304100,55.343498,125,124,114,wall,0
11.566700,-1.303900,55.401199,122,122,118,wall,0
11.564900,-1.304400,55.402302,119,121,114,wall,0
11.559200,-1.304000,55.391399,126,123,119,wall,0
11.552800,-1.304000,55.390400,119,120,113,wall,0
11.550200,-1.302700,55.390499,115,117,111,wall,0
11.546300,-1.304600,55.378899,118,118,110,wall,0
11.538200,-1.303300,55.371799,116,117,112,wall,0
11.533600,-1.302600,55.367500,122,122,114,wall,0
11.531800,-1.304300,55.364300,127,123,117,wall,0
11.521300,-1.303300,55.352200,137,137,125,wall,0
11.517200,-1.303000,55.350201,132,134,122,wall,0
11.509900,-1.304400,55.337002,124,127,116,wall,0
11.509100,-1.304000,55.349701,128,129,117,wall,0
11.500800,-1.303000,55.335400,120,121,110,wall,0
11.496500,-1.303300,55.334900,121,122,111,wall,0
11.492800,-1.302600,55.334599,122,124,115,wall,0
11.489300,-1.302700,55.327400,145,144,131,wall,0
